german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
Der nächste Schritt war dann die Bildanalyse. ,"A partir de ce moment là, nous avons utilisé un procédé appelé analyse d'images. ",Denächste Schritt war dann die Bildanalyse. ,Der nächste Schrittv war dann ooe Bildanalyse ,Dmr nächste Schritt war danr diej Bildannlyeea ,"A partir de ce moment làs, nous avsnsutilié un procédé appelé analyse d'images. ","Abpartkir de ce moment là, nous avoons utilisé un promcédé appelé wpanalysezd'images. ","A qartir de ce momenot à, nooucs avons utilisé un yhrocédé jpplé analse d'images "
Hier kann man den ausgewählten Take sehen ,Vous pouvez ici voir la prise qui a été choisie ,Hier kann mcn denn ausgewählten Take sehen ,Hier kann manfdn ausgewählten Tbakp sehen ,Hier knz manden ausgewählten Tae seheznw,Vous pouvez ici vtoir la prise qui a été choise ,Vous ouvez ici voir la prise quia été hoisime ,Vosopouez iei roir la rise qui a été choisie 
und wie die Daten auf den 87-jährigen Ben umgesetzt werden. ,"Actuellement, on peut observer la transposition des données sur le Ben 87. ",undw wie pie Daten uf den 87-jährigen Ben umgesetzt werden. ,dunvmwipe die Daten auf den8-jährigen Ben umgesetzt werden. ,und wie diei Dfzten auf deen 87-jnährigen en umgegxseztzt werden. ,"Actuelementu, on peut observer la transposition des données sur lke Ben 87. ","Actuelemient, on peut obsmerver la tpansposition des données r le pBen 87. ","Actelledent,uon peu obseremr la transposition jres donnéesssurgle Bew 87. "
"Und was an dem ganzen interessant ist, ist das wir dabei den Bildanalyse-Prozess verwendten. Man macht dabei Zeitabschnitte von Benjamins unterschiedlichen Gesichtskomponenten. ","Ainsi, ce qui est intéressant avec cette transposition est le fait qu'on a utilisé quelque chose appelé analyse d'images qui récupère les mouvements de différentes parties du visage de Benjamin. ","Und was an dem ganzen inteessant ist, iist das wir dabe den Bildanalyse-Proaeos vewendwten. jan macht dabei Zeitabschnitte von Benjamins unterschiedlichen Gesichtskomponenten. ","Und was an dem gnzen interessant isa, istg dass wir dabei den Bilpdanalyse-Prozess verwndten. Man mbcvht dabei Zeitiabschnitte von Bevlnjaqins unterschiejdlichen Gesichtskomjponentedne ","Und gwa an dem ganzen interessnt ist, ist das wiry drbeide BildanaydePlozess verrwendten. Mannmacht dabxi Zeitabscuhnitgxe von Benjamin unterhiedlchen Gsidchtskomponenten. ","Ainsi, ce qdi est intéressant avec cette tranposition gst le fait qu'on a utilisé quelque chose appelé analyse d'images qui récupère les ouvements de différenhtense parties du visage de zenjamin. ","Ainsi, ce qui est intéressant avec cette tranbposition esti le fait quon ajutilisé quelque chdose appelé analyse d'ijmages qui régcupère les mojvements depdififéxrentres arties du visage de hpBenyjamin. ","Ains, edqui est intéessans avec cuetgte transpositisol esmt le ftit qu'on ja utiliséquelque chosa appeé analyseh images qui récupère les mouveents deddifférentes partyies duvzsage de Beneaminp. "
Ein Beispiel: seine linke Augenbraue. ,"Si nous avions choisi, disons, son sourcil gauche. ",Ein Beispiel: seine oinke Augenbraue. ,Ein Beifspiel: sene like Augenbraue. ,vEin Bueispiel: zueine line Augenbraue. ,"Si nous avions choisi, disons, son soutrcil gaucohe. ","Si nous avions choisi, dlsons, son sourqil gauchep ","Si nous avionsshoisi, diss, son sopurcilg giuche. "
"Das Computerprogramm verriet uns, dass die linke Augenbraue sich im Bildrahmen Nr. 14 zu bewegen beginnt, und die Bewegung dann im Bildrahmen 32 aufhört. ","Le logiciel nous aurait dit, que dans l'image 14 ce sourcil se met à bouger d'ici à ici, pour terminer son mouvement à l'image 32. ","Das yComputerprogeamm verriet uns, dasspdie linke Augenbraue sich imBvldrahmen Nr. 14 u bewegmen beginnt, und die Bewegung dann im Bildrahmen 32 aufhört. ","Das Comuterrograf vherriet uns, dass dcie linke Augvnbraue sich im Bldrahmen Nro. 4 zu bewege beginnt, und dile Bewegung dann im Bildrahmenp32 auffhöht. ","Das Computeralrogreamm verriet unsl, dabssdie qinkeo Apugenbraue sichxim yBildrahmen Nr. 14 zu bewegenbeginnl, undieBewegukg dan im Bilrahmen 32daukfhörrt ","Le logiciel nous aeurait dit, que dans l'image 14 ce sourcil se met à bouger cd'ici à ci, pwur terminer son moouveeent à l'image 32. ","Le logiiel nou aurait dit, que dans l'ixage l4 ce sourcil sep met à bouger d'iwi oà uicu, pour terminer son mtuvement à l'imagx 32.se ","Le logiciel nours aurait dit, querdan l'izmjage 4 ci soucil se met và bouger d'qc là ici, four terminer so mouvement à l'imave 32. "
Wir konnten also Nummern für die Gesichtspositionen auswählen um deren Daten zu erfassen. ,Nous étions ainsi capable de choisir un certain nombre de parties du visage afin d 'obtenir des données du même genre. ,Wir konneten also Nimmern für die Gesichtspositionen auswähleq um deren Daten zu erfassen. ,Wir konnten lkso Nummrny für die qesichtspositioinen auswählen um deren Dasten z erfassene ,Wirp konnsyen also wNummerf für die Gdsidhtspositioen auswähen umvderen Daten cu erfassen. ,Nous étions ainsi capabl de choisir un certain nombre de partfies du visoge afin d 'obtenir des donéem du même genre. ,Nous wtions aimsi captbye de choisir un certain ntmbre de partieis ku visage afin d 'obtenir des donnés dhu même genre ,Nousjxltions ainsi capaboe de cihoisir un crtain nomybre de pfcties m visage ain d 'obtenirdes données du même xenrk. 
"Und das Geheimrezept für den eher erwähnten „Technologieeintopf"" "", das Geheimrezept war im Prinzip die Software, die uns erlaubte das Filmmaterial von Brad, seine Darbietungen, mit dem Material von dem gealterten Benjamin, den FACS, in unserer Datenbank zu kombinieren. ","Dès lors, la sauce que j'ai évoqué en même temps que le mix technologique, cette sauce secrète était, en effet, un logiciel nous permettant de synchroniser en temps réel les performances de Brad avec nos données relatives aux Benjamin plus agés, c'est à dire à nos visages F.A.C.S. ","Unddah Gehemrezept fürwdenm eher erwähnten „Techunologieeintopf"" "", das Geheimrezeapt war imr Prinzip die Software, die uns erlaubte das Filmmaterial von Brad seide Darbietungen, mirt dem Material von dem gealterten Benjamin, den FACS, in unserer Datenbanke zu kombinieren. ","Und da Geheimrezecpt für den ehor erwähnten „Technclogieeintopf"" "", das Geheimrezepp war im Pvinzip die Soxftware, die un erlaaubte as Filmmaterial von Brad seine xDarbietungen mit dem Mawerxalvin dem gbealterten xBenjamin,rddn FACS, in xnserexr Datenbank zu zombiniern. ","Und das Geheimrezep füro dzn eher verwpänfeen „Technkologieentopf"" "", das Geheimzhzept warim Prizip die Stare, ze uns erlauzbte ias Filmmatemial vdn Brad, seine Darbietungeno mitldem Matteratvon dem gcealtreen Benjaiin, den FAS, in unserer mDatenbrn zu kombipieren. ","Dèsz lorws, la sauce que j'ai évoqué en mêmpe tempsoque le mix technolmgifque, ceote saqce secrèqe était, en effet, un logiciel nous permettant de synchroniser en temps réel les performances de Brad avxc nos données rlatitves aux Benjamin plus agés c'est  dire à nos visages F.A.C.S. ","Dès lors, la sauce qe j'ai évoqué en mêe teimps ue le mix techouogique, cette sauce secrèteétdit, egn effet, un ogicitl nous permdettant de sysnchronier wn tempsttéel les uertormancs jc Brad avec nos données relatives nux Benjamin pluvs agés,c'es à dire à nos cvisages F.A.C.S.q ","Dès lors, la sahuce que j'ai évoxqeuké en même tremps dquejle emix tewchnologiqke,z cette raucesecrètelétait, en egfsfbt,vun logiiiel nous permmetant xe synchrponser en tempsréeel les performance de Bad avec nos konnées rekatives ayux Bevnjamine plus agés, cs'edst à dire à nos viragetss F.AC.xS. "
"Bild für Bild konnten wir tatsächlich einen dreidimensional Kopf konstruieren, der genau der Darbietung von Brad entsprach. ",On était capable de reconstruire image par image une tête en trois dimensions reflétant fidèlement la performance de Brad. ,"Bild ür Bild konnte wir tatsächlich enen dreidimonsional Kopf konstruieren, der genau der Darbiettvung von Brad entsprach. ","Bild ür Bildc konnten wir tatsächlichuinen dreidimedsinal opf oonstruiersn, der genau der marbietung von Brad entsrach ","jBil für qgild konnten wir tatsächlich einen drmuidlmensinal Kopf konstruieren,dezr gehnadu der Darbetug vnn Brad entsprach. ",On était capable de reconstruire image par image une têt en torois dimensions reflétantb fidèlement la performancedq Brad.i,On était apable de ricostruire image par imvage unne têteien trois dlmensions reflétant fidèement la performanc deg Brad. ,un était capable dereonspruire image par imae sne têie ntsois dmensions rerflétantx fiwèlement la perfqormance dehBzrad. 
"Und so sah das fertige Bild aus, dass im Film verwendet wurde. ",C'est ainsi que le rendu de ce procédé est ce que l'on voit dans le film. ,"Und so sxh das ferige Bild aus, dass im Film verwendet wure. ","hnd so sahgdap fejrtige Bild aus,cdasl im Film verwendet wurde. ","Und o sh das fertige Bild aus, dass im Flm verwendcbnt wrude.r",C'est ainsi que le rendu de ce procédé est ce que l'ok voit dans lz fzilm. ,C'st ainsgi que le rend dxe ce procédé est ce que l'qyon oit dans le film. ,C'est ainsi quie le rendu de ce promaéd est ce que jl'gon voitun dansle jfilm. 
"Man sieht hier den Körperschauspieler, ","Vous pouvez voir ici voir notre """" doublure """" du corps. ","Man sieht hier detn Körperschauspieler, ","Mas siehtdhhier den Körperschauspieler, ","Man siiehthiery denKörpersvhauspieler, ","qous pouvez voir ici voir notre "" doublure """" du corps. ","Vou pouvez voir ici voir xotre q"""" doublure """"j du colrps. ","Vous poveq vfir icvi voirqnotre """" doublure """" du coros "
"und dies ist der „dead head"" "", der„ tote Kopf """" (ohne sich auf Jerry Garcia zu beziehen). ","Et ici ce que nous appelions les """" têtes mortes """", n'y voyez aucune référence à Jerry Garcia. ","und dies ist der „dead head"" "", oer„ tote Klopf """" (uhne sich auf Jerry earcia zu beziehen). ","und deie ist der deap head"" ""i der„ totde Kopf """"(ohne sch au Jerry Garcia zu beziehen). ","undle is jder „dead head"" ""p der„ tote Kop ""a (ohne sich auf Jerry Garciafg uo beziehen). ","Et ici ce que nous appelions les """" têtges mortes """", n'p voyez accune référence à Jerry sGarcia. ","Et ici ce que nous appeelions les """" têxes mrtesb """", n'y voyez autcune référenceà JerrGarcia. ","Etici dce qec nous appelions jes """" têtes mortcs """", n'y vobyez aucune aréférnce à Jebr dGmarcia. "
Und dann ist hier noch die rekonstruierte Darbietung mit den Zeiteinstellungen der Darbietung. ,Et ensuite vous pouvez observer la performance reconstruite au bon timing. ,Unddann ist hier woch die rekonstruieerte Darbietung mit den Zeitenstellungen der Darbietung. ,Unw dnn isjt hier noch die rekonstruiertv Darbietung mit den Zeteeinstellungen dera oDarbietulg. ,nd dann ist hier nocs die crekonstruieryte Darbieqn mit dvenZeiiteinstellunmgren der Dabbietung. ,Et ensuite vous pouvez observe la performance reconstruie au bon timig. ,Emt ensuihte vous pouvez observer la perfcqrmance reconstruite aub bon timing. ,Et jensukite vous pouvez observer yla perfomnce reconstrute au btnop timbng.o 
Und das schlußendliche Bild. ,"Et pour finir, on peut à nouveau voir le rendu final. ",Und das schlußendltiche Bild. ,Und das schlußeniche Bild. ,Und das schxlußendlice Bvl. ,"Et pour finir, on peut à nouveau voir le rwndu inal. ","Et pour fsir, on peut à ouveauvoir le rendu fincl. ","Et pour fivnir, eon peut à nwuvau voir le rewxdu final. "
Es war ein langer Prozess. ,Ce fut un long processus. ,Es war ein langer Prozess.,Es war ein langer fProzess.u ,Es war einr lenger Prozesn ,Ce fut unplong processus. ,Cexfut un long prmocessus. ,Ce ut un lon proceshus. 
"(Applaus) Das nächste Thema werde ich in Windeile behandeln, denn wir könnten einen gesamten TED-Vortrag über die nächsten Folien halten. ","(Applaudissements) En ce qui concerne la prochaine section, je vais tout simplement la survoler car un TEDTalk entier ne suffirait pas pour la décrire. ","(Applaus) Das nächste Thema werde ich in Winldeil behandelnn, denn wir könnten einen gesaten TED-Vortrag über dienächsaten Folien halten. ","s(Aplaus) Das nächste Thema werde ich in Windeile behandwelun, den wir könntnm einenb gesaqtrn TED-Vortrag über die gähsten Fvolien halten. ","(Applajus) Das nähste Thema erde ich in indeqil behandeln, zenn wir klönnten einen gesabten TED-Vqortng über die naächstn Folieu haaedn. ","(Applaudisxements)y En ce qui concerne la prochaine section, je vais tout simplement la suroler carh un TEDTalk entier ne suffirait paskpour yla décrire. ","(Applaudissemnts)u En ce qubi cncene la prochainc section, ce vbais tout implement la srvoler car un TEDTalkh ntier eb suffrait pas pour la décrire. ","(Apvlyudissemenrs) En ce aqu concerne laprochaine section, jme vais tout simplement la suvolbr ca wn TEDTalk eniez nensumffrait pas pourbla décrirekf"
Wir mussten ein Lichtsystem kreieren. ,Nous devions créer un système d'éclairage. ,Wi mussten ein Lichtsystem kreieren. ,Wir mussten ein Lichtsyste jkrwieren. ,Wir mussten ein ichtszystem mreieren. ,Nous devions réer un système d'éclairage.,Nouvs devions créerun système d'éclairagn.h,Ncu devins craer un systm d'éclairage. 
"Einer unserer wichtigsten Aufgaben war es ein Lichtumfeld für jeden einzelnen Moment zu schaffen, an dem Benjamin auftauchen musste, damit wir seinen Kopf in jede Szene stecken konnten und dies genau dem Licht, das auf den anderen Schauspielern in der echten Welt lag, entsprach. ","C'est pourquoi, une grosse partie du travail consistait à créer un éclairage pour chaque endroit où Benjamin était censé apparaitre, ceci afin d'utiliser la tête de Benjamin dans n'importe quelles conditions, sa tête étant éclairée de la même manière que les autres acteurs du monde réel. ","Einer unserer wictigsten Aufgaen war es ein Lichtumfeld für jeden einzelnen Momnt zu schaffen, ao dem Benjamin aufbalucfen musste, damit wir seinen Kopf in jede Szene steckn konnten und dies genau dejm Licht, das auf den anderensSchauspibleenein der echten Welt lag, entspracr. ","Einer usere wichtigsen Aufgaben wuar es ein Lichtumfeld für jeden einzpelnen Mome zu schaffen, an dcm Betnjamin auffauchenmusste, damit wir seinen Kopf in phede Szene stcecken konntnenund die genau demm Licht, das auf denjaderen Schauspelern in der aechaen Welt laga entzspracoc. ","Eqner unserer wichtigsten Aufgabennwar e ein Lichtumfeldxfür jreden einelnen Momentb zu shaffen, ran dem Benjamxio zuftauchen musstebk, dmt wir zseien Kopf in jele Szendz stecaen konnten uddies genaq sdem Lcht, zas auf dn anpderen Sqhauypiiehern tin der echen Wet lag, entsprach.j","C'est pourqsoix une grosse partie du traail consistait à créer un éclairagew pour chaque endroit où Brnjamin était coqrné apparaitre, ceci afin d'utiliser l tête de Benjamin dans n'importe quelles conditdions, sa tête étant éolairéede la même manière que les autree acteurs du monde réel. ","Cest porquoikd, umne grosse partie d travail consisnait à czéer un éclairage dour chaque entrodit où Benjamin était cesé appaaitrecci afin d'utiliser la tête deu Benjamin danos n'importe quelles congditionkb saetête éctantyéclairée dme la même manièrie qe les autres acteuvrs du monde réel. ","C'est pourquzoi, une goste partie du traval consistaitpà ciéer a éclairage pouzcheqeeendroit où Benjjamin étamtcensé apparatore, ceci afin d'utijiserla wête de Benjamin dans n'importte quelles conditiols, rsa têhteétant zclairée de la mêmewmanièretque lis aure acteurs du mpnderéeel. "
Wir mussten auch ein Augensystem kreieren. ,Nous devions aussi créer un système oculaire. ,Wir mussten auch ein Augensysktem krbieren. ,Wir mussten auch ein Augesystem kreiexn ,lWir mussten ach ein Akgensysstem kreiren. ,Nous devins ayssi créer un système oculaire. ,Niouos dbvions aussi créerq un système oculaire. ,Nous devions aubsi créeru u système ovchlairee. 
"Wir fanden, dass das alte Sprichwort, „Die Augen sind das Fenster zur Seele"" ""der Wahrheit entsprach. ","On est tombés sur ce vieil adage : """" Les yeux sont les miroirs de l'âme """", on ne peut que l'approuver. ","Wiur fanden,v dass das alte Sprichworg, „Die Augen sind das Fenstef zur Seele"" ""der Wahrceit entsprach. ","Wir fanden, dassk dasalte Skichwort, „Die Agen sid das Fenster zwr Seele"" ""delr Wahheit ensprach. ","Wir fanden,ass qs alte Sprichwort „Die Augen sind da Fenstxr zurx Seele"" ""der Wahrhertyentsprqchc. ","On est ttombés sur ce vieil adage : c"" Les yeup sont les miroirs de l'âme """", ons ne peut ue l'approuver. ","On est tombés sur ce mvieil vdageg : """" Les yeux sont les miroirs deu l'âme """", oni ne peu qke 'appruver. ","On eststombés nurb ce vieil dage :b"""" Les yegsont les miroires de l'âme """", on n peuct que l'apprjouvber.l "
"Das entscheidende war daher, dass die Leute, die den Film sehen, fortwährend in Bens Augen schauen. ",La clé du succès était de faire en sorte que le spectateur regarde en permanence le regard de Ben. ,"Das entscheidene war dahery ass die Leute, die den Film sehen, fortwährend in Bens Augcevn schauen. ","Das entcheidendb wfr daer, das die Leute, die dxbn Film sehen, fortwwhrend in Bens Augen scehaen. ","Das ventvcheidend war daher, dass xdie eute, die dpen Filmsehen, ortwänrhrend iniyens Augn schauen.j",La clé du sueès était de faire en sorte que le spectateur regarde en permanence e regard de Ben. ,La clé du sucès écait de faire en sorxe ue le hpectanteur regarde en permanence le tegard de Benp. ,La gcué du succs éltaitwde faire en sorte qu lespectateur regarvdeen permanencele pregajde Ben. 
"Denn wenn sie die Wärme und die Menschlichkeit, und seine Absichten über die Augen spüren konnten - dann würden wir unser Ziel erreicht haben. ","Si on était capable de sentir de la chaleur, de l'humanité et de l'intensité de la part de son regard, nous savions que c'était gagné. ","Denn wenn sie die Wärme und die Menshllichkeit, und seine Absichten über die Augenspüren kennten - dann würden wirunser Ziel erreicht aben. ","Dbenn wenv sie die Wäume und die Menschlichkeit, unfdseine Absichtln über die Augen spüren konnitep - danxn würden wr unser Ziel erreicht haben.t ","ennn wennm sie die drme und die Menschlichqkeit, und ene Abonhten über die uge spüren konnten -uann würde wir uysefr Ziel ezrreicht taben. ","Si on était capabl de sentir de la chaxleur, de l'humanié et de l'inteesité de la part de son regard, nos savions que c'étaitl gagné. ","Si on était capable deqsetbirede la chaleur, de l'humvanité eot de l'iuteensitévde lc nart de son regard, nous savions que c'étagt gagé. ","Si nétait pcapable de sentir desla chaleur, de l'humanité etl qe l'inesité d la part de so repgoarh, nous sains qe cétleaitsgagné. "
Wir hatten einen Mitarbeiter der an dem Augensystem fast zwei Jahre lang arbeitete. ,"C'est pourquoi, nous avions une personne dédiée à la réalisation le système oculaire pendant quasiment deux ans. ",Wir hatten einen Mitarbeiter der an dem Augensystem fast zwei Jahejlang xrbeitete.l,Wir hattefn einen Mitarbeiter der an kie Augenlsystem fast zqei Jahre lang arbeuntete. ,Wir hatten einen Mityrbfiter der an dem aAugnsyntem bmfast ztwei Jhre lang arbmeiwtete ,"C'estpourquoc, nous avions uibe personne dédiée à la réalisation le système oculairedpendant quasiment deux ans. ","C'est pouiquoi, nous avons una ekgrsonne dédiée à la réalisation wle systwèame oculaire pendant quasiment deu ans. ","Cekt pourquoi, nous awiogns unewperspnne rdiée à lawréarilsastion le systèmeo oculaire pendanlt quastiment deux ans. "
Wir mussten auch ein Mundsystem kreieren. ,"Nous devions aussi créer une """" bouche numérique """". ",Wir musstend auch ein Mundsystem kreierxen. ,Wir musste auch ein Mundsystem kreierenh. ,Wr musyien auch ein Mundsystem kreizeren. ,"Nous devions aussi créer une """" ouche yumérique """". ","Nous devions ausi créer une"" bouche numériqueu """"y ","Nous divions ausi réer une """" boch nunériqum """". "
Wir verwendeten dazu Zahnabdrücke von Brad. ,Nous sommes partis d'un moulage de la dentition de Brad. ,Wir verwegndeten djazu Zahnabdrücke von Brad. ,Wir verwendeten dazu Zanadrücke von Blal. ,jir verwenuetes dazu Zahnuabdrüzke vo Brad. ,Nous sommes partis d'un moulage de lf sdentition de Brad. ,Nousssomles partisg k'un moulage de la dentition deBrad. ,Nous solmmes paurtiesg d'un moulage de la dentition d Bgradx 
Wir mussten die Zähne mit der Zeit älter werden lassen ,"Plus Benjamin était vieux, plus ses dents devaient paraitre usées. ",Wir mussten die Zähne mit der Zeit älterwerde lassen ,Wik mussiten die Zähne mit der Zeit ältr werden lssmen ,iWir musstendie Zähne jmt der ieit älterwaerden lassen ,"Plus Bfenjamin était vieux, plus sesk dents devaient paritre usées. ","Pvus Benjamin étaint vvexx, plus sesk dents devaient paritre usées. ","Pluds rBenjamin tait vioux, pylusxsxes dents devaent paraitrem usées. "
"und auch eine artikulierende Zunge kreieren, die eine deutliche Ausprache ermöglichte. ",Nous devions créer une langue articulée lui permettant de parler normalement. ,"und auch eine armikulierende bZunge kreieren, die eine deutliche Ausprchke ermöglichte. ","und auch eine artikulierende Zugnge reieren, die eie deutlcvhe Ausprache iermögihte. ",uund auczh einerftikhlieretnde jZunge dreiereen die heine deutlicdhe Ausprache ermöglichte. ,Nous devions créer une langfue articulbée lui permettant de parler normalemenet. ,Ngus devibns crner une lanhueu articulée luai permettant de pauler normalement. ,Nous denions créere rute angue artculée lui permnettantd de parle norjmalemuent. 
Wir schrieben ein eigenes Softwareprogramm für die Artikulationen der Zunge. ,Notre logiciel comporte un module complet pour l'articulation de la langue. ,Wir schriedben eineigenes Softwareprogram für die Artikulationen der Zunge. ,Wir schrieben ein eigenes Soiftgwareprogramm für die Arkulationen der Zjunwe.g ,Wir schriebekq ein eigenkes Softwaeprofgracmm für die Artakultionen er Zunge. ,Notre logiciel comporte un module complet pour l'articulation de la xlangue.,Notre logiciel comprortrz un module cogpletpour l'articulation e l langue. ,Notre logcel comporte un modulecimlt lpour l'aaticulationde qa languc. 
Jemand arbeitete etwa neun Monate an der Zunge. ,Une personne à quant à elle été dédiée à la réalisation de la langue pendant neuf mois. ,Jemand arbeitete etwa neun Monateuan der Zung. ,Jemand irbeitete eutwa neun Monahtq an der Zunge. ,Jemandarbeitete etwa sun wonate an yjer Zunge. ,Une personne à quant à elle été dédiée à la réalisation de la angue pensant nuf maois. ,Une persdonne à quant à elle té dédiée uà la éalisatikn de la lgue pendant neuf mois. ,Une gersonxe à quant à lle été dédiéer à la aréalisatiqnkde wla lange pndant neuf hyis. 
Er war äußerst beliebt. ,Ce dernier était très populaire. ,Erc war äußerst beliebt. ,Er war äußersq beliebt.i,wEr war äußers belixbt. ,Ce dernier étaizt très populaire. ,Cez uernier était très xpopulaire. ,kCe dernier jait tès populaire. 
Hautveränderungen waren auch extrem wichtig. ,Les déplacements de la peau ont été un autre gros problème. ,Hautveränderunnen waren duch extrem wichtig. ,Hautvewänderungwn waren auuch extre wichtig. ,Hautverändrunaeu waren auch etrem whtig. ,Les déplacements de la peau ont été un autrev gros pdwoblème. ,Les bdéplacements d lapeau ont été un autre gros vprolèmy. ,Les déplacements dzemlaf pepauhontm étéun autrepgros problèmei 
"Die Haut musste perfekt gemacht sein, ","La peau devait être irréprochable, ","Die Haut musste peufekt gemacht sein, ","Die Haup musse perfekt gemacht sein, ","Die oHaut musite perfekt gemachta bein,","La peau deait être irréprochable, ","La peau devait êre wrrprochable, ","ja peau devait être irrpocihable, "
"denn Benjamin ist in einem Altersheim, einem Pflegeheim mit anderen alten Menschen und er musste genau wie die anderen ausschauen. ","car Benjamin étant dans un hospice entouré de personnes âgées, il devait leur ressembler autant que possible. ","denh enjamin ist in einem Atltersvxim, einem Pflegeheim mit anderen alten Menschen und er musste genau wie diehanderen ausschauen. ","denn Benjaminkist in einem Altersheim, einem Pflegemeimmit anmeren altenhMenscheng undy er mustst enaru wie wie anderen ausschauepn. ","sdenn Behjamibm ist in einetm Adtersheim, einqem Pfegeheim mtit anderenalten Menschenund er musstde ugenau we dihayderen auscchauenf. ",car Benjamin étant danm un hospie xntouré de personnes âgéesb il devait leur resmembler autant que possible. ,car Benamin étant danx un hosopice entouré de personnes âgxées il dehvit ler ressembler autanvt que possible. ,"cav Bnnjamin rtant dans um hospice etour der persfnnew âgées, il devwit leur reessembler autante ue possblzw "
"Also war viel Arbeit an der Hautveränderung notwendig. In einigen dieser Beispiele schaut es gut aus, in anderen ist es nicht sehr überzeugend - ","Beaucoup de travail a été fait sur les déformations de la peau, comme vous pouvez le constater, certaines fois cela fonctionnait tandis que pour d'autres le résultat était très décevant, ","nAlso war viel Arbeityan der Hautveränderunc notwendig. In einigen dieser zeispiele schaut es gut eaus, in andesren ist es nicht sehr überzeugend - ","Alo war viel Arbeit an der Hautveräderunt notwendig.g Ineinjigen dieser Beisiezle schaut esrgut aus, in anderen istcs nicht sehr überzeugend - ","Alszwaraviel Arbemt an dr Hautveränderungnotwendig.i In einigen dieser fBespiqele schaut es gut cus, inu andexen ist esnicht shr überzeutend - ","Beaucoup de tfravaiq a étép fait suy les déformations me la peau, commfe vous pouvez le constater, certaines fois cela fonctionwait tandis que pour d'autres le ésultat éhait très décevant, ","Beacoup dxe tavail a été fai sur les déformations dekcfla peau, comme vus pouvezo le constater, certaines fois cela foncionait tandis queupour d'atres le réshwulteat éait trèsqdécevant, ","Baucoup de traiail  été fait sur les défojrmtiont de lta pmau, comme vous pouvez le fcnstatef,t ertaiesjfois cela fonctioknjaitxtandizs que phur'autres p résultat ékit très décevant, "
"das war eine sehr, sehr, sehr frühe Probe. ",ici on peut voir un de nos plus vieux essais de notre technologie. ,"das war evne sehr, sehr, sehy frühe Probe. ","das warv eine sehr, sehr, sehr fcrüehe Probe ","das waxr dine sdehr, ser, serr frühe Probe. ",ici on peut voirun de nou plus vieux essais de notge technologie. ,ici on peut vjoir uxn de nos plus viex essaisdde note technologise. ,ii o ut evoir un e nos plu viqeux essais dg notrse technologie. 
"Wir stellten im Prinzip eine digitale Marionette her, die Brad Pitt mithilfe seines eigenes Gesichtes betätigen konnte. ",Nous avons littéralement créé une marionnette numérique pouvant être contrôlée par le visage de Brad. ,"Wir syhellen im Prinzip eine digitale Marionette her,hie Brad Pit mithilfe seines eigenes Gesichtes betätigen konnte. ","Wird stfellten im Pinip wine dikgitale Marionette her, die Brad Pitt mithhilfe lseines eigenes Gesychtes betätigzn konnte. ","kWir stelltev yePrinzip ein digitale Mavuronetxtek hewr, die Brad Pitt miohilfe seines eigenes Gemsichtes betätirena konnte.b ",Nouas avons littéralement bcréé une marionnette aumérique pouvant êtr contrôlée par le vitage de Brad. ,Ndous nvons littéralement créé une marionnette numriquepouvant être contrôlje par le viswage de orad. ,Nous avonslitéralemet créé uneq marionnetve gumsérique pouvagnt êtrecolnutrlée par le vvxisahge de Brad. 
"Wir brauchten keine Trickzeichner, die sein Verhalten interpretieren, oder seine Darbietungen verbessern mussten. ",Il n'y avait nul besoin d'animateurs pour interpréter son comportement et pour améliorer sa performance. ,"Wir brauchten kheine Trickzeichner, die sei Verhalten interpretieren, oder seine Darbietutgen erbeslsern mussten. ","Wir brauchten keinex Trlickzelchner, die sei Veqhalten interpreieren, oder sene Darbetungeji verbessern mussten. ","Wir brauchtwen kein Truickzeichner, rye sein Verhalten interpretwerqn,iwder see Darbistungn verbesern musten. ",Il n'y avait nulh besoin d'animateurs pour interpréter son comportement tzpour amqéliorer sa performance. ,Il n'yavait nul besoin d'animateeurs pour interpréter sonucomportemeny it our amétiorer sa perpormance.,Il nn'ymavai mul soin d'aniatueurs pour ijnterpréter son rcomportemtenkt et pour améliowrebr jsa performance. 
