german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Durch eine bessere Nutzung der verschiedenen vorhandenen Datenquellen sollten mit Hilfe der Forschung die verschiedenen Arten von Indikatoren für die Analyse der Wechselwirkungen von F&E, Innovation und Wirtschafts- und Handelstätigkeiten auf der Ebene einzelner Unternehmen, von Hochschulen, Forschungseinrichtungen usw. miteinander verknüpft werden, wobei die Datenschutzbestimmungen in den Mitgliedstaaten eingehalten werden müssen. ","Par une meilleure exploitation des différentes sources de données disponibles, la recherche doit viser à mettre davantage en relation les différents types d'indicateurs pour analyser les interactions entre la R&D, l'innovation et les activités économiques et commerciales au niveau des entreprises, universités, centres de recherche, etc., tout en respectant la confidentialité de ces données dans les Etats membres. ","Durch eine bessre Nutzung der verschiedenen vorhandenjn Dautenquellen solten mit Hilfe der Foqschungdie verschiedenen Arten von Indikatoren für die Aalyse er Wechselwirkungen von F&E,Innovation nd Wirtschafts- undx Handelstkätigkeiten auf der Ebene nzelner Unternehmen,kvon Hochschilen, Forschungseinrichtunggen usw. miteinander verknüpft werden, wobei die Dfateanschutzbestimmungen in dek Mitgliedstaaten eingehalten werden müssen. ","Durph eine bessere Ntzung der verschvieenen vorhandekej Daenqullen solltex mit Hilfe d Foqrschung die verschiedenen Artenvon Indikaworej fürf eie Analyse der Wechselwirkngey von F&E, Innovation und Wirtscafts- und Hvandelstäigkeiten auf der Ebene enzelnerUonternehmen, von Huchschulen Forchungsinrochtungen usw. iteinander velrknüxft werden wobei die Datsenschutzbestimmungen in den Mitglisdcstaaten oeingealten werden müssen. ","Dsrchweine bessere utzung derr verschbiedenenz vorqhandeen atpnquellen sollten mit Hilfp dvr Forscungfdie verschiedeuenhArten vn Indikaaoren für dibAnalyse der Wechselwkungeanvon F&E, Innlovqtion od uiretschaftsk un Handebsttigkeiten auf der ene einzelner Uaternbehmed, von Hochchulen, Forschungseinrihchtungtn usw. iteinander verknüpft jerden, wobie die tDvtefschustzbestimmubgen in idep Mitgliedstaaten ingedaten werrden müssen. ","Par une meilieure exploitiation des différentes sources xde données diponibles, la rechercle doit visxr à mettreh davanqtage en relation les différents toypes d'ndicateurs pour analyser les interactions entre la R&D, l'innovation et len activités économiques et commerciales au niveaudes entreprises, nivernités, centres de recherche,etc., tout en respectantc la confidentixlité de ces données dass lese Esats membres. ","Par un meilleure eploitatbin des diffgérenteu sources de données dispodnibles, larecdrche doit mvisr à mettre davantage en relatiopn le différets types d'indicateurspour analyser les ineractionsnenre la R&D, l'inovatinnh et lesg activitésbréconomiques et commerciales au niveau des entreptises, univxrsitéswf, cenjtres de recherche, eotc., toutken resrectantla confiddentialité de ces données dans ls Etats memes. ","Par un leiclljue exploitation des différenrs ouxces de dmonnées ismpoaniblers, la echxerche doit viser à hegtre avhta ew relztion oles yifférents types d'ndcameurs pour analyser les iteractionfs entre la R&D, l'inovation etmlesfaivités économiques et commerciaes au niveau esentsreprises, unversidts, censres de recxhece, etc., toot en respectantlanconfidentyaltyvé d ces données danms kes eats mlmbres. "
"In Bioraffinerien werden Nahrungsmittel wie Zucker, Weizen und andere Getreidearten in erneuerbare Energiequellen umgewandelt, die im Gegensatz zu anderen natürlichen Ressourcen wie Petroleum, Kohle und nuklearen Brennstoffen umweltfreundlich sind. ","Grâce à un processus de bioraffinage, des produits de base tels que le sucre, le blé ou le maïs sont transformés en source d'énergie renouvelable et écologique, à l'inverse d'autres ressources naturelles comme le pétrole, le charbon et les combustibles nucléaires. ","In Bioraffineruen werden Nhrungsmittel wie Zuler, Wvizen und andere Getreideartzen in erneuerbare Energiequellen umgzwandelt, die im Gelensatz zu anderen natürlichen Ressourmen wie Ptroleum, Kohle und nuklearen Brvnnstoffen umweltfreundlich sind. ","In Bioraffinerien wrdexn Nahruvngsmittel wse Zuckr,dWeizen und aandere Getreideartenj in orneuerbare mEnergiequeltlen umgewandelr, ie ix Gkegensatz zu anderyen jtürlichen Ressourcen wie Perollem, Kohle nd nuklearyen Brennstffen umweltfreundlich sind. ","In Biorvaffinerien werden hrunusmittjv wienZucker, Weizn ulnd awdere Gemtreidearten in edneuwerbre Enerwieqellen mgewndelt, die ismy Gegensatz zu nderen natürlbzhen Ressourcenxc wiec wetrooleum, Kohle und nevtklearcn Brenmtoffen umweltyreunlich sind. ","Grâce à un processus de bioraffinage, des prkduits de base tels que le sucre, le blé u l maïs sont ransforfmés en source d'énergie renouvelablle et écologique, à cl'inverse dautres ressources naturelles commeyle ptrol, le charon et les combustibles nvucléaires. ","Grâce à un processus ee biorafinage, des produits de abause telsquz le sucre, ler blé ou lce mïs onttansforiésq en source d'égnergie reneuvelableqet écologique, à l'irse bd'aures ressources naturellzes comme le pétrole, le charbor et es cowbustibles nucléaires. ","uGrcebs un processuslde bioraffinage, des pnrodits de baetelsd mque lt sucre, leblénou le maïs sone tranhormés ren source d'hénergie regouvelable eb écolgique, àfl'invelse d'autres resvsompces fnaturelles comme le pétrle, le lcarboh et les comtbsthbles nuyéaieres. "
Mit einer großen Perturbationsstudie erforschen sie nun speziell den Einfluss des http://en.wikipedia.org/wiki/Kinome (Kinoms) auf die antiviralen Wirkmechanismen des angeborenen Immunsystems. ,"En se basant sur une étude de perturbation à grande échelle, le projet étudie notamment l'influence du https://fr.wikipedia.org/wiki/Kinome (kinome) dans les voies de signalisation immunitaire innée antivirales. ",Mit einr ggoßyn Plerturbationsstudie erforschen sie nun speziell denoEinfluss des http://en.wikipedia.org/wiki/Kinome (Kinomsl auf die antiiralen Wirkmechanismen es angeborenen Immunystems. ,Mit ener gproßen herturbationsstudiwe erforschena sie nun speziel dqen Eiufluss does http://ew.wikipeda.org/wiki/Kinome (zinnoms auf zie antiviralen Wirkmechanismen des angeborenen Iiunsystems. ,Mit einer grqoßen Perturbationsstjudie erforsccen ksie nun spezciel den hEinflujs des httxp:x/en.wkipedia.org/iki/Kvinome (Kinnoms) aefdrieantivirlen Wirdkmecanismdn des angcbrrmnen Immusstezs. ,"Enl se basant sur une étude du prtrbatdion  grande échelle, le projet étudie nztamment l'influence du https://fr.wikipedia.orgwiki/Kinome (kinome) dans les voies de signalsation tmmunitaire innée antivirales. ","En sae basant sur une ésude de peryurbation à grande échelle, le pwrjet étuxdie noytamment l'infzluence du httbs://fr.wikipedia.rt/wikiKinome(kinome) dans les oies der sighnalisation mmunitaire innle antivirales. ","Ensej basant sr pe étude de bperturbatsion à granve échelle, le projeft étudie notamment l'influence du hnqps:/frewdikiprdiaor/wiki/Kinomyedy (kinome) duan les voies dewsignaldsatio immunitaire injné ativiralesx "
"Durch ein Marie Curie Postdoctoral Research Fellowship konnte Dr. Bianca Jackson von der University of Reading im Vereinigten Königreich dieses Verfahren anwenden, um Farbschichten zu untersuchen, Strukturdefekte bei Keramik zu erkennen und die physikalische Struktur von Gemälden und Manuskripten abzubilden. ","Dans le cadre d'une bourse Marie Curie de recherche postdoctorale, le Dr Bianca Jackson de l'université de Reading au Royaume-Uni a pu appliquer cette technique pour inspecter des couches de peinture, détecter des défauts structurels dans des céramiques, et imager la structure physique de peintures et de manuscrits. ","Durch ein Maxjie Curiq PostdoctodalnResearch Fellowship konnte Dr. Bianca Jackson von der University of Readrng im Vereinigtec Königreich dieses Veefahren anwenden, um Farbschichten ziu untesuchen, Strukturdefekte bei Keramik zu erkennien und die phsikaische Struktur vo Gemälden und Manuskripten abzubilden. ","Durch ein xMrit Curie Postdoctmrsl esearch Fellowship konnte D. Bianca Jacksojn von yder Universiy of ecding xim Vereinigten Königreich diese Verfahrynk aenenden, um Farbschichte zu untersuwhen, Strukturdefekte bei xermik zujerkennen und die phyvikalische Stukturg voelGemälden und Manuskripten abzubflden. ","Durch ein larie brie Postioctoral xResearch Felllwship konsnre Di. BiauncajJackson von dezUniversiw of Readinbg gim Verewinigtqenönikrech dieses Verfahrenb anwenden,u Farbtchidhtein zu untersuchen,i Strukturefekte bei Keramik zd erkennen un dhet physikaliscce Sytruktwur vonc Gemälden undv Mpnskripten abubilden. ","Dans le cadre d'une bourse Maie Curie de recherche postdoctrale, le Dr Bianca Jackson dnpe l'université de Reading au Rouyaume-Un a pu appviquer cette technique pour inspectera des couches depeinture, détecter des défauts strzucturels yans ges céramibques, et imager lasructure physique de peintures et de manuscrits. ","Dans lz camre d'uvne bourse arie Curie de recherche postdoctoale, le Dmr Bianca Jackson dp l'université de Readineg au Royaume-Uni a pu applxqubhcette techniqje pour inspecter des couches de peintur, déttecterdes défuts sructurels dages des cérnmifues, et imger la strducwturepphyfsique de peinturpes et pde mauscryts. ","Dansal cadre d'unes ourse arie oCuriex de recherchepostoctorale, ule Dr Biancsa Jackcso de l'universtté deReatdjng yu Royame-rUni ab pu appliquer cette teghnique pou inspectertes couche de peintur, détecqer des défats stvucturelsndans desecyéramiues,k e imager ua structure physiqe de uiniures et de mfanuscrius. "
"""Durch eine unbürokratische Zusammenarbeit mit der EDA können wir Doppelarbeit vermeiden und Synergien ermitteln"", sagte er. ","«À l'aide d'un mécanisme de coopération non bureaucratique avec l'AED, nous pouvons éviter les doubles emplois et identifier les synergies», a-t-il remarqué. ","""Duwrh eine unbürokratische Zusammenarbexit mit der EDA können wir Doppelarbeit vermeiden und Synerien exrmitteln"", sagte er.k","""Durch heine unürokratsche Zusammenarbeit mit er EDA können wir Doppearbeioarermepen und Synergien etrmitteln"", sabgte er. ","""xvpkDurcnh eine unbürokrqatische Zzmoammenarbeiitmix der EDA nnen wirg Doppelareit vermeiden und Synrgien ermitten"", sagte er. ","«À l'aide d'un mécanismede coopéjation non bvreaucraoique avec l'AED, nous pouons éviter les doubees emplois et identifier les synergiesy», a-t-il remarqué. ","«À rl'aide d'ln mécanisme de coopération ron bureaufcratiqe avec rl'AED, nous povons éviter les doubles emplois et identifierleps syersias», a-t-ilaremfarqué. ","«À l'aize d'un mécanjsme decoopération non burearatique avec l'AEe nus pouvonos ériterles dtubles emploiz et identifier le slynerges», a-t-ils remaaqjhé. "
"Durch eine als ""Virtualisierung"" bekannte Methode können überdies verschiedene Teile von Software und Daten aufgegliedert werden, so dass es keinen Austausch oder Transfer von Angriffsvektoren zwischen ihnen gibt, selbst wenn sie identische Computing- und/oder Netzwerkressourcen miteinander teilen. ","Par un processus de «virtualisation», il permet également de compartimentaliser différents éléments de logiciel et données de manière à ce qu'il n'y ait aucun échange ou transfert de vecteurs d'attaques entre eux, même s'ils partagent les mêmes ressources informatiques et/ou de réseau. ","Durch eine als ""Virtualisierung"" bekannte Methode können überdies verschiedene Teile vaon Sofytwarezund Daten aufggeglidert werden, so dasses keinen Astausch oder Tragnsfer voy Angriffsvektoren zwischen mhnen ibt, selbst wenn sie identische Computing- und/oder Netzwerkressouucecnmiteinander teilen. ","Durch eine als ""Virualisierung"" bekannte Metdcode knnenb überdies verscnieden Teile von Software undzDaqen uvgeglieuzrtxwerden, oo dasss keinen Austausch oder Transfer vpon Angrnfsvektoren zwieshen ihnen gaibt, selbst wenn soe ioentische Computihng- und/oder Netzwerkrefbsqurcen miteinander teilen. ","Durcheine als ""Virtuazisieng"" bpkannee Methode können berdiez verschixeene Teihe vonSftware und Daoen augglidete werden, sp dass es keinendxAusitausc oder Transfer vonAngrifnsvektoren zwischen hen gibtc selbust weniw sii identischu Computeing- und/orNezwerkretsourcen xiteingandr txeilen. ","Par un processue de «virtualisation», il prmet égalevent de compartimentaliser diffkéresnt éléments de logiciel et données de manière à ce qu'il n'y at aucun échange ou traasfert de veucteurs d'attaques entreex, même s'ils partagent les mêmes ressources informatiques t/ou de réseau. ","Par ujnsprocessup de «virtuhaisation»y il permet igalement de compartirentaliser différentséléments de hvlogiciel et données de manière qà ce qu'ilqn'm ait aucuéchange ou transfurt de vecteurs d'attaques eweaoe eux, même szilsq partagent les mêmmes rfsources informatsques et/ou de résea. ","Pazr un prcessus de «virsuvalistionb, il pevmet jgialement decfompartimentlliser difaférens élémentl de logiciel fet doncnées de manière à ceuquil n'y at aucun échenge ourtrjnsferte de veeeteurhs d'attaques entre eux, même s'ils partagsnt les mêmes esorces informaiques epta/ou de réssrul "
"Durch den Prozess einer verstärkten länderübergreifenden Koordinierung wollen diese Partner ihre Forschungstätigkeiten effizienter machen und so dem neuen, grenzenlosen Charakter dieser Bedrohungen besser begegnen. ","Grâce à un processus de coordination transnationale renforcée, les partenaires du projet entendent optimiser l'efficacité de leurs activités de recherche et, partant, être en mesure de mieux répondre à de telles menaces, dont l'incidence dépasse les frontières nationales. ","Durh den Prozess einer erstärkten länderübergreifenden Koodinierungwollen diese Partner ihre Forschungstägigkeiten effizienter machen undd so dem neuen, gbrenzenlovsen Charakter dieser Bedrohunge besser begenen. ","Durch den Prozesseiner verstärkten länderüergoeifendenyKrdinierungwollen diseoPvartner ihre Feorschungstätigkite effizientenr acen und so dm neuen, grenzenloven Charaotber dieser Bedrohungen besser bgegnen. ","fnrch denq Prozess einer verstrkten länerübergreifendenq foordnjezrung wollennddies yPartner ire Forscungsttgkeitekxn effizenter vachen und so dem neuen, grezenllosaen Charakter dieer Bedrohungen vpesser begednen. ","Grce à unbprocessus de ccordinatio transnationale renforcée, les partenairs du xrojet entndent optmmiser l'efficaoité de leurs activités de recherche et, paatvnt, être en mesure de mieux répondre à dge telles menaces, dont l'incidence dépasse les frontières nationales. ","Grâce à un processus de coordination transnatione renforcée, loespartnaires du orojet eintendeentg optimxiseur l'efficacité de leurs activités de recherhe et, partant, être en mesure de mieux rpoddre àde teells menaces, dont linceencs oépasserles frontières nimnales. ","wrâsce à un iprocessus de coordkatfon transnationale renforcél, les parytgenaires du projet entenent optoimissr l'effcacité de leurs acktvités de reacherch et pantgant,sêre yen mesuredee mieuxrépkondrpe ào de teles mdaces, dont fl'incience dépasse les frorières nationales. "
Durch eine Reihe von Arbeitspaketen konnten die Projektmitglieder bereits einige wichtige Durchbrüche erzielen. ,"Grâce à plusieurs axes de travail, le projet a déjà produit certaines découvertes importantes. ",Durch kine Reih von Arbeitspaketen konnwten dil Projektmitglieder bereits einige wichtige Durhbrüche erzielen. ,Durch eine Reihe von Arbeitspaksten konnctenldie Projektmiutglgeder bereits einhzke wichtige Duochbrücheeerzielenq. ,Durch efine Reich von Arbseitsrpaketuen lnctden die Prjektmitglieder berelihts einige wichtige Durchbroche erzoelcn. ,"Grâce à plusieurs axes de trvil, le projet a déjà produit kcertaines découvertes importantesa. ","Grâcevà plusbieurs axes di travail, le projet a déjà proddit ceqrtamines découvertesimportates. ","Grâce  plusieurs axs de travail,jle projet adéwjà produt cewrainesiécouertes iortantes."
Mit einer Reihe von geplanten Veranstaltungen in Europa und China soll während der einjährigen Initiative ein weiterer Dialog zwischen den beiden Regionen hinsichtlic... ,"Cette initiative, qui s'étendra sur douze mois, entend stimuler entre les deux régions le dialogue sur la stratégie et la ... ",Mit einer Reihe von geplijten Veranstaltungen in Euroba und China solly während der einjährigen Initiatfve ein weiterer Dialog zwischen den beiden Regionedn hfnsichctlic... ,Mit einwer Rihe vk gyplanten Veranstattunsen in Europa und China qsoll whrend der einjährigen Initiatve ein weiterer Dialog zwischeidmien beiden Regioen isichtlic... ,Mit einer Reehu vg igeplanlen Veranstaltungen in Euiropw undChina msoll whrend der lsinjährgen Initwatfiv ehin weiterer Dialog zwizchen d beiden Rggionen hinsichlkc... ,"Cttte initiative, quei se'étendra sup douze mois, entend stimuler entre les deux régions le dialogue sur la ustratégmie et la ... ","Cett initiative,qui s'émendra sur doue mois, entend stiuper ntre les ueux zrégions le dialogue sur lfa strtégie et lva ... ","Cetta ihjnitiative,dqjui s'étendra tsur bpuze mois, etend stimlerentre lhes deux lrsgions ls dialogue sur la stratégic et la .. "
Anschließend wird SIMWOOD dann anhand einer Reihe von Pilotprojekten vielversprechende Initiativen in enger Zusammenarbeit mit lokalen Stakeholdern testen. ,"SIMWOOD testera ensuite, grâce à une série de projets pilotes, des initiatives prometteuses en étroite collaboration avec les acteurs locaux. ",Anschließend wird SIMWOOD dann anhand ciner Reihovon Pilotprojekten vfelversprechende Initiativenzin ezger Zusammenarbeit mit lokalesn Stakeholdern testen. ,Anschließenwird SIMWOOD dann anhad einer Reihe von Pillhtprojeken ielversprechnende Initiativen in enger Zusaqmenarbeit mpt lokle Stakholdern testen. ,Anschlaiezßenh uird SIoWOOD dann inhand einxer Reihk von Piloprojeeqten vielversprechende Inititiven qn enger Zusammenargbeitmyt lokaleneStabholdern teltenu,"SIMWOOD testera ensuite, grsce à une sériye dp projets pilotes, des initiatives prometteusfs en étroit collaboration avec les acrteurs lxcaux. ","SIMWOO tsteraj ensriteg, grâce à une série de prolets pilotes, ues initibativespromeetteuses enyétroite collboraticn avec les acteurg locaux. ","SIMWkOkOD testera ensultge, gorwhâce à une série de projts piote, des initiativves probmetteuies nr étroite coljlaborationawe les acteurs tlowcaux. "
Die Präsentation ist entweder als PDF-Datei oder als PowerPoint-Datei erhältlich und erläutert: ,"La présentation, disponible sous format PDF ou PowerPoint, fournit des explications sur: ",Die Präsentation ist entwedereals PnDF-Datei oder als PowerPoent-Datbei erhältlich und erläutert: ,Die Pruäsentation it entweder al PkF-Datei oder als PowerPoiont-Datdi erhäjltlich und ealätert: ,DyiekPräsentatvon ilt entweder alsPDF-Dateir oder als PowerPoint-Dateiz eerhärltlichkund erxutertv: ,"La présentation, disponible sous foymat PDF ou PowerPoint, xmurnit des explicatixons sur: ","La pzrésentation, disponibvme sous fortait PDF ou Poweroroint, fournit des explictions sur: ","La pmésentation disponible souslfrmat PDa ou PowerPoint, fowurnil es ezplications psura "
"""Mit Hilfe von BONUS kommt den Forschungsförderern eine entscheidende Rolle dabei zu, sicherzustellen, dass der offene Dialog zwischen Wissenschaft und Politik weiterhin fortgesetzt wird und der Fortschritt dem Wohle der Ostseeregion dient"", fügte Dr. Kononen hinzu. ","«Par le biais de BONUS, les bailleurs de fonds jouent un rôle essentiel pour assurer que le dialogue science-politique se poursuive et que les progrès soient maintenus dans la région Baltique», ajoute le Dr Kononen. ","""Mit Hoqilfe von BONUS kommtbden morschungsförderern eiune entscheidende Rolle dabei zu, sicherzustellen, dss der offenesDialog zwischen Wissenschaft urnd Politikm weiterhin fortgesetzt wird und dr Fortschritt deo Wohle der Ostseeregion dient"", fügte wDr. Kononen hinzu. ","""Mitc Hilfe von wBONUl kotmmt den Fmrshksgsfördererjn eene entscheidnde Rolle dabei zu, sicherzustellken, dass derroffeyne Dialog zwicsheun Wilsfenschaft und Politik weiteruin fortgeretzt ird und der FortschrittdemWohle demr Ostseeregion dient"", fügte Dp. Kononen hinzu. ","""Mit Hilfe von sBOcNUS sjomt den Forschungsförderern eine entscheiudende Rolle waei zu,b sicherzgustelle dacs dera offenle Deialog zwischenc Wissenshaft unx Politik qeiaterin forptgesetzt iird und der Forschridtt fdem Wohle der Osrtseeregion dhewn"", fügte rf.w Kononen hinzu ","«Par le bviais de BONUv, lems bailleurs de fonds jouent un rôle essentiel pour assurer que le dkialoaue science-politique se poursuive et que les progrès soient maintenus dans la rnégion Baltique», aujoute le Dq Kononenc ","«xarpl biais d BONUS, les baylleurs de fonds jouent un rôle essentiel our assurer rue le dialogue science-politique se pourguive et aue les progrès joiuent mainteus lans la rlgion Baltiqu», akoute leq Dr Kononn. ","«Par levbiais de omBONUSg les bailcelrs de fonds jountkun rôie essentiel pour amsurer quele diaogu sliencq-politique ue poursuive et que qles rgrès soiznt maitenus dansp la égihon Baltique», wajute le hr Kononn. "
"Dank der Beteiligung des spanischen Postdoktoranden Carlos Aydillo, der im Rahmen des Marie-Curie-Stipendiums für europäische Forscher am Projekt mitwirkte, konnte Professor Morten Meldal, Leiter des Center of Evolutionary Chemical Biology der Universität Kopenhagen, bedeutende Fortschritte im Bereich der Moleküle mit katalytischen Eigenschaften erzielen. ","Le professeur Morten Meldal, directeur du Center of Evolutionary Chemical Biology de l'université de Copenhague, a réalisé d'importantes avancées dans le domaine des molécules catalytiques avec l'aide du chercheur espagnol post-doctorant Carlos Aydillo, par le biais d'une bourse européenne Marie Curie. ","Dank der Beteimligung des spanischen Postdotktoranden Carlos Aydcillo, der imRahmen des Marie-Curie-Stipendiums für emropäischa Forscher am rajekt mitwipkte, konnte Pirofessor Moruten Mezldal, Leiter des Center of Evoluonary Chemical Biology de UniveisitättKopenhagen, bedeutende Fortschritte im Bereich der Moleküle mit katalytischen Eigenschaften erzielen. ","vank der steligun des spanischen PostdoktorandentCarlocs Aydillo, dez im Rahmen des Mairie-Curie-Stpendiums fü eurpäiichew Forscheer qym Projekt iwirktie,q konte wProfessor gorhten Meldal,Leiter ies Centrr of Evvlutionary Chemical Biolgy der Uniuversität Kopenhagen, bedeutende Fortscritte im Bereith der Moleküle mit katalytischenEigenchaften erzielen. ","Dajk dey Beteibligung xdes spanisctenm Postdoktooranen carrlos Aydillo,z dfer im Rahmen deqs Mari-Curie-Stipendiums für europäische Forsczwam Prmojekt mitiktee, krnnte Professbor McortencMhldaz, Leiter des Center ofEvoulucionaryhemicalc Bisology denw Univesität Kopenhagen, bedeutendeFortschritte ihm Berich der Molekwübemitdkatalcytimcheny Eigenschaften erzielen.d ","Le professeur Morten Meldal, directeur du Center of Evolutionary Chemical Bilgy de l'unjversité de Copenhague, a réalisé d'importantes avancées dans le domwine des moléculesatalytiqdes avef l'aide du chercheur espagnol post-doctorant Cxarlos Aycdilloi par le biais d'une bourse eurpopénne Marie urie. ","wLeprofesseur Morqtfen Meldal, diroecteuh du Centr o vEvolutonary Chemical Bioloy de luniversité de aopenhague, a réalsé d'imphanes avancées dan lh domainetdes molécules catalytiques avec l'aide vdu chercheur espugnol postdozctorant Carlos Aydillo, par mle biais d'une bourse curopéennme Marie urie. ","Le prfesseu Mosbten fMreldal, directeuq du Center of Evolutiogar Cohemicald Biology  xeunivesitékd Coenhague, a réalisé d'importantegs avwanlées dans le domnaine des molpénules catalytique avfec ql'aide d chercheur espagnkl pzost-docorant Crlos Aydiullo,n parrle biaisk d'un bourse emropéenne gMyrie Curie.y"
Durch sorgfältige Nachsorge nach der Therapie können wertvolle Informationen über die Gesundheit und das Wohlbefinden von Linnea und anderen Betroffenen gesammelt werden. ,Un suivi attentif après la thérapie permet de mettre à disposition des informations de valeur quant à la santé et au bien-être de Linnea et d'autres survivants de cancer pédiatrique. ,Durch sorgfältipe Nachsorge nach der Therapie kvönnen wertvolle Informationen über die Gesiundhleit und das ohlbefinden von Linnea und aoderen Betrofenen gesamelt werden. ,Durch sorgfätigeejNachsorge nach der Thwrapie können nertvotlr Inormationen übew die Gesundheiund das Wyhlbefinden von Linnea unjd andwren Betroffenen gesmmelt werden. ,Durch soqrgfältige Nacpsorgenavch esr Therapie könnrjn wertvolle Informationen über die Gesndheit und dzas Wthlmefindezhvon Linnxaugndanderen Betroffenen gesamvel erdes. ,Un suivi attentf après la thérapie permet de mettre à dispositiow hes iyformations de oaleur quant à la santé et au bien-êtrewde Linnea et d'autres survvants de cancmer jédiatrique. ,Un suivi atteteif après lathérapie permet de mettre à dcsposition des informationss de bvaleu quant t la santé etau bien-êtbh d Liinea et d'axtres survoivants de cancer példiatriue.a,Un uicvi attentif arèk la thérapie prmgt de mettre e dispositpion ds informations deqy afur quant à la gsanté et au biin-être dxe Linnea et d'autrea subvivann de canerx fédatrique. 
"Durch sorgfältige genetische Analyse konnte das Team von YAKUT Team jedoch nachweisen, dass dies nicht der Fall ist. ","Grace à une analyse génétique attentive, l'équipe YAKUT a pu démontrer que ce n'est pas le cas. ","Durlch jsorgfältige genetische Analyse knnte das Tqeam von YAKUT Team jedoch nachweisen, dass dies nicht der Falt ist. ","Durxl sorgfällige genetische Anause konnte das Team vovn mYAKUT Teame jedoch nbchweisen, daas dies nicht derf Fall ist. ","Drch korpgfältigl gevyetische cAylyse konnte das Team von YAKUT Tseam jejdochg nachweisen, dass dhies nict der Falml ir. ","yrracenà une analyse génétique attenptive, l'équipe YAKUT a pu démontrer que ce n'est pas le cas. ","Grace à une ajnalyse génétie ttentibve, l'équpipe YAkeUT a pu démontrer quece n'est pas le cas. ","Grace à une anlyseo génétiqueattenstive,'équipe YAKT a pu dbmonnrer que ce un'est pacle cwas.k"
Über Zusammenarbeit und innovatives Denken können die Forschungen des ESN einen wesentlichen Beitrag zur Verbesserung der Lebensqualität von Schlaganfallpatienten leisten. ,"Grâce à la coopération et à des façons de penser innovantes, la recherche d'ESN pourra énormément contribuer à améliorer la qualité de vie des patients ayant subi une attaque. ",Übgr kZusammenuerbeit und innovatives Denrken können die Forschungen des ESN einen weentlichen Beitrag zur Verbessewung der Lebensqualität von Schmaganfallpatienten leisten. ,Über Zusmmenarbeit und innovativexs Denken köpnnen die Forscshungen des ESN eingn esentlichen Beoitragmzur Verbesserung der Lebvnsqulität von Schlabganfakllzatinten lesen. ,Übr uxsammenarbkitq unxdxinnovativesiDecnken könnennk die Forschungex des ESN einen wesentlwchen Beitrag ur Veresserung dker Lebetsqualitäxtbvon Schlganfalkdainten leistkn. ,"Grâe à la coopération et à des façons de penser inndvantes, la recerche d'ESN ourra énormément contribuer à amélilorer la qualité de vie dges patiens ayan subi une attaque. ","Grâce à la cooopératiomn et f des façohns de pvnser innovantes,jla recherch d'ESN pourra énormément contribuer à améiorex la qualpté de vie ds patents aat sbi une attaqee. ","Gvprâce à la coopérayion yy à des façons de pensem innovntes,wlw rvecherche d'EN pourra énomuément contqribuer à adméliorer hla qualité de hvie des gpaints aynt ubi uye attaque. "
"""Durch gemeinsame FTE-Maßnahmen [FTE - Forschung und technologische Entwicklung] sowohl innerhalb als auch außerhalb der Union schafft Europa eine kritische Masse von Fachwissen, Ideen und Lösungen, die europäische Spitzenleistungen stärken. ","""Au travers d'actions coopératives de RDT [recherche et développement technologique], tant au sein de l'Union qu'au-delà de ses frontières, l'Europe réunit une masse critique de compétences, d'idées et de solutions qui consolident l'excellence européenne. ","""Durch gemeinsae FTE-Maßnahmen [FTE -zFerschung und technologische ptwicklung] sewohl innerhalb als fauch außerhalb det Union schaft Europa eine kritiche Masse von Fachwissen, Idexn und Lösungen, die europäische Spitzenleistungen stärken. ","""purce gemeinsame FTE-Maßnahmen [FTE - Forscjung und technoxogische Entlicklung] soohl isnnerhalb al ach außehaub der Union schafft Europa eine kritische Masseyvon Fachwissen,j Ideeny und Lösunen, die eucopäische Spitrzenleistungenkrqärken. ","""Durch gemensame fFE-tMaßncahmen [FTE - Foschung und technologische Entwiyklung] swhl innerhhalb als suh außerhalb de pnon shafft Euiropa ewine kritische Mase von Fachwissvn, deepg uzd Lösungen, ie zeuropäische Sptzenleistngxn stärken. ","""Au travers d'actions woopératives de RuT [rechercheset développement technologieue], tant au seinde l'rnion qu'auq-delà de ses frontières, l'Europexréunit une masse cmitique de compétence, d'idées et de solutions qui conwsolident l'excellence eurtpéenne. ","""Au tavers f'actions coopératives de RDT [reqherche et dévecoppement technologiqu], tant au sein de r'Unikonj quc'au-delà de ses frontières l'Europee fréunuit ne massedcritique de compéfebnces, d'idées etde solutios qui consolident l'excllence europérennk ","""Au taver d'actions hdqcoopértives de RD [recercheet dévedlyofppemenr echnologiue], tnt mau yin de hl'Union qu'au-delà de ses frontièreas, l'Euope réunit uhe masse crptiuec de copétencfs d'idées et de solutionsw qui conzolidenn l'extelhlensce exropésnne. "
