eng,spa,similarity_score
He says many were forced to leave Mexico because of the lack of opportunities there,Él dice que muchos se vieron obligados a abandonar México debido a la falta de oportunidades,5
The atmosphere would have made a Stalinist shudder with apprehension.,La atmósfera habría hecho un estremecer estalinista con aprensión.,2
"He wants to partner with the United States and Canada, and create a European Union-style trading bloc in North America.","Quiere colaborar con los Estados Unidos y Canadá, y crear un bloque comercial al estilo de la Unión Europea en América del Norte.",5
Mr. Englund's book is a deviation from standard history books.,El Sr. Englund del libro es una desviación de la norma libros de historia.,2
But how to find them?,"Pero, ¿cómo encontrar?",3
"First of all, like many people, I assumed that boredom was a relatively recent phenomenon, with the advent of more leisure time.","En primer lugar, al igual que muchas personas, supuse que el aburrimiento es un fenómeno relativamente reciente, con la llegada de más tiempo de ocio.",5
Many of these are about deprivation and making do.,Muchos de ellos son sobre la privación y hacer ver.,4
"My government has a great commitment to the Mexican people to reduce the violence, Mr Pena Nieto told US President Barack Obama in the Oval Office earlier this week.","Mi gobierno tiene un gran compromiso con el pueblo mexicano para reducir la violencia, dijo el señor Peña Nieto, el presidente de Estados Unidos, Barack Obama, en la Oficina Oval a principios de esta semana.",5
Mr. Browne said about 142 people were arrested in the park.,El Sr. Browne dijo sobre 142 personas fueron detenidas en el parque.,4
"It's time for the military to modernize as well, Burke says.","Ya es hora de que los militares para modernizar así, Burke dice.",3
Xerox could have owned the entire computer industry.,Xerox podría haber propiedad de toda la industria informática.,3
The growth since the early 1970s of one of the world's biggest oil and gas industries lies behind much of Norway's present-day wealth.,El crecimiento desde principios de los años setenta de una de las mayores industrias del petróleo y del gas de Noruega está detrás de gran parte de la riqueza actual.,5
"It was Nov. 10 of last year when stagehand Kevin Monk, his kindergarten-teacher wife, Roseanna, and Genevieve were getting ready to go on a family trip.","Era noviembre de 10 del año pasado cuando stagehand Kevin Monk, su esposa kindergarten-teacher, Roseanna, y Genevieve estaban preparándose para ir en un viaje familiar.",4
"Her strategy: rather than piling all the plaintiffs into this case - putting all her eggs in one basket, so to speak - she will file multiple cases, if need be, to keep the pressure on.","Su estrategia: En lugar de acumular todos los demandantes en este caso - poner todos los huevos en una sola canasta, por así decirlo, va a presentar múltiples casos, si es necesario, para mantener la presión sobre.",4
I thought about that moment this week when Mexican president-elect Enrique Pena Nieto visited the White House to meet with President Obama.,"Pensé en ese momento esta semana cuando el presidente electo de México, Enrique Peña Nieto visitó la Casa Blanca para reunirse con el Presidente Obama.",5
Maybe this will make their struggle bloodier than before.,Tal vez esto hará que su lucha más sangrientos que antes.,5
It would be so much easier if he did.,Sería mucho más fácil si lo hizo.,5
"Per a 1950 Supreme Court ruling called the Feres Doctrine, the federal government is not liable for injury sustained by active-duty personnel.","Por un fallo de la Corte Suprema de 1950 llamó la Doctrina Feres, el gobierno federal no es responsable por las lesiones sufridas por el personal cuyos autores son.",3
I'm sure it's all just a tease.,Estoy seguro de que todo es una burla.,5
"Even more tragic is that it was Oxford, which not only produced 14 Tory prime ministers, but, to this day, hides behind an ill-deserved reputation for equality and freedom of thought.","Todavía más trágico es que se trataba de Oxford, que no sólo produjo 14 primeros ministros conservadores, pero, hasta el día de hoy, se esconde detrás de una merecida reputación por la igualdad y la libertad de pensamiento.",5
"The 1,700-mile pipeline would extend from Canada to the Gulf of Mexico.","El oleoducto 1,700-mile ampliaría desde Canadá hasta el Golfo de México.",5
The atmosphere would have made a Stalinist shudder with apprehension.,La atmósfera habría hecho un estremecer estalinista con aprensión.,2
"I'm afraid you're on your own, amigos.","Me temo que estás en tu propio, amigos.",2
He said not being allowed to know what was happening to him or in the outside world was distressing.,Dijo no poder saber lo que estaba sucediendo a él o en el mundo exterior era preocupante.,5
"Above all, Israel has prospered, especially under Binyamin Netanyahu, a prime minister who has largely ignored the peace process.","Por encima de todo, Israel ha prosperado, sobre todo en Binyamin Netanyahu, un primer ministro que ha ignorado en gran medida el proceso de paz.",3
"He said he tried to keep moving, because sleeping during the day or even lying down was against the rules.","Dijo que trató de seguir avanzando, porque dormir durante el día o incluso tumbarse estaba en contra de las reglas.",3
"Their situation wasn't helped by a recent BBC Two documentary, Wonderland: Young, Bright and on the Right, about student politics, which portrayed Tories as oddballs and neo-Nazis.","Su situación no fue ayudado por un reciente documental de la BBC Two, Wonderland: Jóvenes, Bright y de la derecha, sobre la política de estudiantes, que retrata conservadores como personas caprichosas y neonazis.",5
List price for six of those is more than $1 billion.,Precio de catálogo de seis de ellos es más de mil millones de dólares.,5
"The union representing hundreds of school support workers who lost their jobs last month plans to sue the city on Wednesday, claiming the layoffs were unnecessary and discriminatory because of their disproportionate impact on schools that serve poor students.","El sindicato que representa a cientos de escolares de apoyar a los trabajadores que perdieron sus empleos el mes pasado planes para demandar a la ciudad el miércoles, alegando que los despidos eran innecesarias y discriminatorio debido a su impacto desproporcionado en escuelas que sirven a los estudiantes pobres.",3
"Tobacco firms said they would boost black market trade, leading to cheaper, more accessible cigarettes.","Las empresas tabacaleras dijeron que impulsaría el comercio en el mercado negro, causando más barato, más accesible cigarrillos.",5
Rakfisk is trout sprinkled with salt and fermented in water for - depending on how smelly you like your fish - up to a year.,La trucha Rakfisk se roció con agua y sal en agria para - según cómo te gusta tu maloliente pescado - hasta un año.,3
Norwegians find it very difficult to believe that in their peace-loving country one of their own was capable of such brutality and murder.,Los noruegos les resulta muy difícil creer que en su país amante de la paz uno de sus propios era capaz de tal brutalidad y asesinato.,5
"This poses a threat to the atmosphere of intellectual discussion, as well as to the welfare of members, she says.","Esto supone una amenaza a la atmósfera del debate intelectual, así como para el bienestar de sus miembros, dice.",5
Mr. Englund discussed the soldiers who actively tried to catch a venereal disease from prostitutes as a way to evade service at the front.,El Sr. Englund discutieron los soldados que trató activamente para capturar una enfermedad venérea de prostitutas como una forma de evadir el servicio en el frente.,5
"The last amendment to be added - the 27th - was ratified in 1992, but it was actually proposed by Congress in 1789.","La última enmienda a añadirse - 27 - fue ratificado en 1992, pero en realidad fue propuesto por el Congreso en 1789.",5
Norway does not often make it on to the global news agenda - and most seem to like it that way.,"Noruega no suele figurar en el programa mundial de noticias, y la mayoría parecen como así.",3
"They have a natural hedge, he said.","Tienen una cobertura natural, dijo.",5
On falling in love with technology (and cold-calling Bill Hewlett):,Al caer en el amor con tecnología (y cold-calling Bill Hewlett):,3
Former presidential candidate John Edwards has been charged with campaign finance violations connected to the cover-up of an extramarital affair.,El ex candidato presidencial John Edwards ha sido acusado de violaciones relacionadas con la financiación de la campaña de encubrimiento de un romance extramarital.,3
"Or until we die, whichever comes first.","O hasta que mueren, sea cual sea el primero.",2
"In recent days, Italy's borrowing costs have soared dangerously and the prime ministers of both Italy and Greece have resigned.","En los últimos días, los costos de endeudamiento de Italia han aumentado peligrosamente y los primeros ministros de Italia y Grecia han dimitido.",5
"Once at Quantico, Manning said, he spend most days in a small cell -- at least 21 hours and often more than 23 hours -- with no company.","Una vez en Quantico, Manning dijo, él gastar más días en una celda pequeña - al menos 21 horas y a menudo más de 23 horas -- con ninguna empresa.",3
Europe's monetary union has been badly undermined by a sovereign debt crisis in past months.,La unión monetaria europea ha sido gravemente afectada por una crisis de deuda soberana en los últimos meses.,5
"We don't want to be put in a position where we license somebody and then have a big federal issue, said Bob Nicholson, a City Council member.","No queremos ser puestos en una posición en la que alguien de licencia y luego tienen un gran problema federal, dijo Bob Nicholson, un miembro del Consejo de la Ciudad.",3
What they want is that one simply accepts what they say and shuts up.,Lo que quieren es que uno simplemente acepta lo que dicen y cierra.,3
"In 1991, Reed Larson, a professor of human and community development at the University of Illinois, conducted an experiment in which he contacted almost 400 teenagers and their parents seven to eight times a day by beeper.","En 1991, Reed Larson, profesor de desarrollo humano y de la comunidad en la Universidad de Illinois, llevó a cabo un experimento en el que se puso en contacto con casi 400 adolescentes y sus padres de siete a ocho veces al día de radiobúsqueda.",4
"But what Apple fans might find most revealing in a recently rediscovered Jobs interview dusted off in advance of special movie screenings in major markets this week, is how much this creative mind understood about business processes and product workflows.","Pero lo que Apple admiradores podrían encontrar más revelador en una entrevista recién redescubierto Jobs de nuevo antes de la proyección de películas especiales en los principales mercados esta semana, es cuánto este mentes creativas entendido sobre los procesos de negocio y flujos de productos.",3
About 28 people were on the northern perimeter.,Alrededor de 28 personas fueron en el perímetro septentrional.,4
Israel's defence budget is bigger than that of its four Arab neighbours combined.,El presupuesto de defensa de Israel es mayor que la de sus cuatro vecinos árabes combinados.,5
"Tucked away under motorway flyovers, it is in many ways a suburb of Mexico City itself.","Escondida bajo la autopista pasos elevados, es, en muchos sentidos, un suburbio de la ciudad de México.",4
Mr. Englund's book is a deviation from standard history books.,El Sr. Englund del libro es una desviación de la norma libros de historia.,2
"Tough, tough, tough.","Duro, duro, duro.",5
But no 18-year-old should be subject to such intimidation and vitriol in an educational institution.,Pero no de 18 años y debería estar sujeto a este tipo de intimidación y virulencia en una institución educativa.,3
"The last amendment to be added - the 27th - was ratified in 1992, but it was actually proposed by Congress in 1789.","La última enmienda a añadirse - 27 - fue ratificado en 1992, pero en realidad fue propuesto por el Congreso en 1789.",5
Cold and Inhuman: Anders Behring Breivik Makes First Public Court Appearance,Fría e inhumano : Anders Behring Breivik hace la primera comparecencia pública,5
"The Budget Control Act, which passed in August, required that both the House and Senate vote on a balanced budget amendment.","La Ley de Control Presupuestario, aprobada en agosto, requiere que tanto la Cámara y el Senado de votar un presupuesto equilibrado enmienda.",5
Traffic in Mexico City is particularly bad at present.,El tráfico en la Ciudad de México es particularmente malo en la actualidad.,5
"The 1,700-mile pipeline would extend from Canada to the Gulf of Mexico.","El oleoducto 1,700-mile ampliaría desde Canadá hasta el Golfo de México.",5
"We are staunchly opposed to this draconian action, the senators said in a joint statement Monday afternoon when they released Panetta's letter.","Estamos oponiéndonos firmemente a esta medidas draconianas, los senadores dijeron en una declaración conjunta el lunes por la tarde cuando se publicó la carta de Panetta.",5
"Indeed Hamas is gaining on the West Bank, the other bit of Palestine currently run by its bitter rivals in Fatah, the more moderate Palestinian faction.","De hecho está ganando de Hamas en Cisjordania, el otro poco de Palestina actualmente dirigido por su amarga rivales de Fatah, la facción palestina más moderada.",2
"But assaults are notoriously underreported, and by the Pentagon's own estimate, that figure accounts for approximately 13.5 percent of the estimated 19,000 incidents that occurred that year.","Pero los asaltos son notoriamente divulgado, y por la propia estimación del Pentágono, cifra que representa aproximadamente el 13,5% de los aproximadamente 19.000 incidentes ocurridos este año.",2
"And then again, no one who lived through it will ever forget the media circus President Bill Clinton unleashed by lying during his second term in office about his sexual involvement with Monica Lewinsky.","Y entonces, una vez más, nadie que vivió se olvidará el circo mediático Presidente Bill Clinton desatada por mentir durante su segundo mandato sobre su relación sexual con Monica Lewinsky.",5
"The report, released in March, also examines prosecution rates: in 2010, 20 percent of reported cases in the military went to trial - half the rate of the civilian justice system.","El informe, publicado en marzo, examina también las tasas de enjuiciamiento: En 2010, el 20% de los casos denunciados en los militares fueron a juicio, la mitad de la tasa del sistema de justicia civil.",5
"First of all, like many people, I assumed that boredom was a relatively recent phenomenon, with the advent of more leisure time.","En primer lugar, al igual que muchas personas, supuse que el aburrimiento es un fenómeno relativamente reciente, con la llegada de más tiempo de ocio.",5
